time,healthy crops mean
1138.0,28.2
1139.0,28.09
1140.0,28.03
1141.0,27.96
1142.0,27.87
1143.0,27.75
1144.0,27.63
1145.0,27.55
1146.0,27.37
1147.0,27.32
1148.0,27.16
1149.0,27.11
1150.0,27.03
1151.0,26.96
1152.0,26.86
1153.0,26.76
1154.0,26.67
1155.0,26.56
1156.0,26.4
1157.0,26.27
1158.0,26.17
1159.0,26.06
1160.0,25.94
1161.0,25.88
1162.0,25.79
1163.0,25.73
1164.0,25.67
1165.0,25.61
1166.0,25.52
1167.0,25.41
1168.0,25.26
1169.0,25.14
1170.0,25.04
1171.0,24.9
1172.0,24.73
1173.0,24.61
1174.0,24.5
1175.0,24.4
1176.0,24.25
1177.0,24.17
1178.0,24.09
1179.0,23.98
1180.0,23.89
1181.0,23.78
1182.0,23.71
1183.0,23.6
1184.0,23.46
1185.0,23.41
1186.0,23.31
1187.0,23.21
1188.0,23.16
1189.0,23.07
1190.0,22.91
1191.0,22.83
1192.0,22.73
1193.0,22.57
1194.0,22.44
1195.0,22.34
1196.0,22.28
1197.0,22.19
1198.0,22.08
1199.0,22.03
1200.0,21.94
1201.0,21.79
1202.0,21.68
1203.0,21.58
1204.0,21.42
1205.0,21.33
1206.0,21.23
1207.0,21.18
1208.0,21.06
1209.0,20.95
1210.0,20.88
1211.0,20.71
1212.0,20.63
1213.0,20.57
1214.0,20.49
1215.0,20.42
1216.0,20.33
1217.0,20.26
1218.0,20.17
1219.0,20.08
1220.0,20.02
1221.0,19.93
1222.0,19.82
1223.0,19.78
1224.0,19.73
1225.0,19.68
1226.0,19.57
1227.0,19.51
1228.0,19.5
1229.0,19.41
1230.0,19.35
1231.0,19.26
1232.0,19.2
1233.0,19.15
1234.0,19.05
1235.0,19.01
1236.0,18.91
1237.0,18.74
1238.0,18.67
1239.0,18.54
1240.0,18.47
1241.0,18.38
1242.0,18.32
1243.0,18.21
1244.0,18.12
1245.0,18.06
1246.0,17.97
1247.0,17.92
1248.0,17.86
1249.0,17.77
1250.0,17.65
1251.0,17.51
1252.0,17.44
1253.0,17.36
1254.0,17.3
1255.0,17.2
1256.0,17.16
1257.0,17.06
1258.0,16.95
1259.0,16.88
1260.0,16.8
1261.0,16.77
1262.0,16.67
1263.0,16.59
1264.0,16.49
1265.0,16.43
1266.0,16.38
1267.0,16.27
1268.0,16.25
1269.0,16.2
1270.0,16.17
1271.0,16.11
1272.0,16.04
1273.0,15.95
1274.0,15.87
1275.0,15.84
1276.0,15.75
1277.0,15.7
1278.0,15.6
1279.0,15.53
1280.0,15.44
1281.0,15.37
1282.0,15.29
1283.0,15.23
1284.0,15.13
1285.0,15.05
1286.0,14.96
1287.0,14.89
1288.0,14.87
1289.0,14.8
1290.0,14.77
1291.0,14.67
1292.0,14.66
1293.0,14.61
1294.0,14.51
1295.0,14.44
1296.0,14.4
1297.0,14.31
1298.0,14.26
1299.0,14.2
1300.0,14.16
1301.0,14.11
1302.0,14.04
1303.0,13.95
1304.0,13.89
1305.0,13.82
1306.0,13.76
1307.0,13.67
1308.0,13.6
1309.0,13.54
1310.0,13.52
1311.0,13.42
1312.0,13.37
1313.0,13.33
1314.0,13.29
1315.0,13.19
1316.0,13.12
1317.0,13.08
1318.0,13.02
1319.0,12.96
1320.0,12.91
1321.0,12.83
1322.0,12.78
1323.0,12.74
1324.0,12.63
1325.0,12.57
1326.0,12.52
1327.0,12.5
1328.0,12.44
1329.0,12.39
1330.0,12.34
1331.0,12.27
1332.0,12.22
1333.0,12.19
1334.0,12.14
1335.0,12.08
1336.0,12.0
1337.0,11.96
1338.0,11.9
1339.0,11.81
1340.0,11.77
1341.0,11.74
1342.0,11.69
1343.0,11.62
1344.0,11.61
1345.0,11.58
1346.0,11.56
1347.0,11.5
1348.0,11.48
1349.0,11.42
1350.0,11.38
1351.0,11.32
1352.0,11.27
1353.0,11.24
1354.0,11.16
1355.0,11.1
1356.0,11.04
1357.0,11.02
1358.0,10.95
1359.0,10.92
1360.0,10.89
1361.0,10.8
1362.0,10.74
1363.0,10.69
1364.0,10.66
1365.0,10.6
1366.0,10.52
1367.0,10.47
1368.0,10.41
1369.0,10.39
1370.0,10.35
1371.0,10.34
1372.0,10.29
1373.0,10.24
1374.0,10.18
1375.0,10.08
1376.0,10.05
1377.0,10.0
1378.0,9.91
1379.0,9.85
1380.0,9.8
1381.0,9.75
1382.0,9.7
1383.0,9.68
1384.0,9.64
1385.0,9.62
1386.0,9.59
1387.0,9.56
1388.0,9.53
1389.0,9.47
1390.0,9.44
1391.0,9.42
1392.0,9.37
1393.0,9.35
1394.0,9.34
1395.0,9.29
1396.0,9.22
1397.0,9.18
1398.0,9.13
1399.0,9.12
1400.0,9.07
1401.0,9.0
1402.0,8.99
1403.0,8.92
1404.0,8.88
1405.0,8.85
1406.0,8.82
1407.0,8.76
1408.0,8.71
1409.0,8.69
1410.0,8.66
1411.0,8.63
1412.0,8.53
1413.0,8.51
1414.0,8.46
1415.0,8.41
1416.0,8.38
1417.0,8.34
1418.0,8.34
1419.0,8.31
1420.0,8.29
1421.0,8.25
1422.0,8.19
1423.0,8.13
1424.0,8.1
1425.0,8.04
1426.0,7.98
1427.0,7.94
1428.0,7.89
1429.0,7.79
1430.0,7.76
1431.0,7.72
1432.0,7.68
1433.0,7.65
1434.0,7.65
1435.0,7.57
1436.0,7.53
1437.0,7.46
1438.0,7.4
1439.0,7.34
1440.0,7.32
1441.0,7.28
1442.0,7.28
1443.0,7.2
1444.0,7.15
1445.0,7.14
1446.0,7.07
1447.0,7.03
1448.0,7.01
1449.0,6.99
1450.0,6.93
1451.0,6.86
1452.0,6.85
1453.0,6.79
1454.0,6.74
1455.0,6.74
1456.0,6.72
1457.0,6.69
1458.0,6.65
1459.0,6.6
1460.0,6.6
1461.0,6.55
1462.0,6.53
1463.0,6.5
1464.0,6.47
1465.0,6.45
1466.0,6.44
1467.0,6.39
1468.0,6.36
1469.0,6.33
1470.0,6.32
1471.0,6.28
1472.0,6.25
1473.0,6.23
1474.0,6.2
1475.0,6.16
1476.0,6.12
1477.0,6.11
1478.0,6.09
1479.0,6.07
1480.0,6.06
1481.0,6.06
1482.0,6.0
1483.0,5.99
1484.0,5.95
1485.0,5.9
1486.0,5.87
1487.0,5.85
