time,healthy crops mean
1446.0,11.17
1447.0,11.16
1448.0,11.16
1449.0,11.14
1450.0,11.12
1451.0,11.12
1452.0,11.12
1453.0,11.12
1454.0,11.11
1455.0,11.1
1456.0,11.1
1457.0,11.1
1458.0,11.08
1459.0,11.08
1460.0,11.07
1461.0,11.06
1462.0,11.05
1463.0,11.04
1464.0,11.03
1465.0,11.03
1466.0,11.03
1467.0,11.03
1468.0,11.03
1469.0,11.03
1470.0,11.02
1471.0,11.01
1472.0,11.01
1473.0,11.0
1474.0,11.0
1475.0,10.99
1476.0,10.98
1477.0,10.98
1478.0,10.95
1479.0,10.95
1480.0,10.95
1481.0,10.95
1482.0,10.95
1483.0,10.95
1484.0,10.94
1485.0,10.93
1486.0,10.93
1487.0,10.93
1488.0,10.92
1489.0,10.92
1490.0,10.92
1491.0,10.92
1492.0,10.92
1493.0,10.91
1494.0,10.91
1495.0,10.9
1496.0,10.87
1497.0,10.86
1498.0,10.86
1499.0,10.84
1500.0,10.83
1501.0,10.83
1502.0,10.82
1503.0,10.81
1504.0,10.8
1505.0,10.79
1506.0,10.79
1507.0,10.79
1508.0,10.78
1509.0,10.78
1510.0,10.77
1511.0,10.77
1512.0,10.76
1513.0,10.75
1514.0,10.74
1515.0,10.73
1516.0,10.72
1517.0,10.72
1518.0,10.71
1519.0,10.71
1520.0,10.7
1521.0,10.69
1522.0,10.68
1523.0,10.67
1524.0,10.67
1525.0,10.66
1526.0,10.66
1527.0,10.66
1528.0,10.65
1529.0,10.65
1530.0,10.65
1531.0,10.65
1532.0,10.65
1533.0,10.65
1534.0,10.64
1535.0,10.64
1536.0,10.63
1537.0,10.63
1538.0,10.63
1539.0,10.63
1540.0,10.62
1541.0,10.61
1542.0,10.6
1543.0,10.6
1544.0,10.59
1545.0,10.59
1546.0,10.59
1547.0,10.59
1548.0,10.58
1549.0,10.58
1550.0,10.57
1551.0,10.57
1552.0,10.56
1553.0,10.56
1554.0,10.56
1555.0,10.56
1556.0,10.56
1557.0,10.56
1558.0,10.55
1559.0,10.54
1560.0,10.53
1561.0,10.53
1562.0,10.53
1563.0,10.53
1564.0,10.52
1565.0,10.51
1566.0,10.5
1567.0,10.5
1568.0,10.5
1569.0,10.49
1570.0,10.48
1571.0,10.48
1572.0,10.48
1573.0,10.48
1574.0,10.47
1575.0,10.47
1576.0,10.47
1577.0,10.47
1578.0,10.46
1579.0,10.46
1580.0,10.45
1581.0,10.45
1582.0,10.45
1583.0,10.43
1584.0,10.43
