time,undetectable crops mean
1300.0,15.59
1301.0,15.55
1302.0,15.55
1303.0,15.54
1304.0,15.54
1305.0,15.51
1306.0,15.51
1307.0,15.45
1308.0,15.44
1309.0,15.41
1310.0,15.42
1311.0,15.41
1312.0,15.38
1313.0,15.37
1314.0,15.3
1315.0,15.3
1316.0,15.28
1317.0,15.28
1318.0,15.23
1319.0,15.24
1320.0,15.25
1321.0,15.22
1322.0,15.16
1323.0,15.14
1324.0,15.13
1325.0,15.1
1326.0,15.11
1327.0,15.09
1328.0,15.09
1329.0,15.08
1330.0,15.06
1331.0,15.02
1332.0,14.99
1333.0,15.0
1334.0,15.0
1335.0,14.97
1336.0,14.93
1337.0,14.89
1338.0,14.86
1339.0,14.84
1340.0,14.8
1341.0,14.77
1342.0,14.75
1343.0,14.73
1344.0,14.72
1345.0,14.69
1346.0,14.68
1347.0,14.66
1348.0,14.64
1349.0,14.61
1350.0,14.58
1351.0,14.57
1352.0,14.52
1353.0,14.51
1354.0,14.51
1355.0,14.48
1356.0,14.46
1357.0,14.43
1358.0,14.42
1359.0,14.41
1360.0,14.41
1361.0,14.39
1362.0,14.39
1363.0,14.37
1364.0,14.36
1365.0,14.34
1366.0,14.29
1367.0,14.3
1368.0,14.29
1369.0,14.26
1370.0,14.24
1371.0,14.22
1372.0,14.18
1373.0,14.19
1374.0,14.2
1375.0,14.21
1376.0,14.18
1377.0,14.17
1378.0,14.16
1379.0,14.16
1380.0,14.12
1381.0,14.12
1382.0,14.11
1383.0,14.07
1384.0,14.02
1385.0,13.98
1386.0,13.94
1387.0,13.94
1388.0,13.96
1389.0,13.94
1390.0,13.9
1391.0,13.87
1392.0,13.86
1393.0,13.83
1394.0,13.79
1395.0,13.79
1396.0,13.73
1397.0,13.7
1398.0,13.68
1399.0,13.65
1400.0,13.62
1401.0,13.62
1402.0,13.6
1403.0,13.57
1404.0,13.53
1405.0,13.52
1406.0,13.51
1407.0,13.51
1408.0,13.5
1409.0,13.46
1410.0,13.47
1411.0,13.45
1412.0,13.43
1413.0,13.42
1414.0,13.41
1415.0,13.38
1416.0,13.36
1417.0,13.37
1418.0,13.38
1419.0,13.37
1420.0,13.35
1421.0,13.32
1422.0,13.3
1423.0,13.26
1424.0,13.23
1425.0,13.25
1426.0,13.25
1427.0,13.27
1428.0,13.25
1429.0,13.21
1430.0,13.2
1431.0,13.16
1432.0,13.12
1433.0,13.12
1434.0,13.1
1435.0,13.1
1436.0,13.09
1437.0,13.07
1438.0,13.07
1439.0,13.05
1440.0,13.04
1441.0,13.02
1442.0,12.99
1443.0,12.97
1444.0,12.93
1445.0,12.92
1446.0,12.9
1447.0,12.89
1448.0,12.87
1449.0,12.84
1450.0,12.82
1451.0,12.78
1452.0,12.74
1453.0,12.74
1454.0,12.69
1455.0,12.69
1456.0,12.65
1457.0,12.61
1458.0,12.59
1459.0,12.56
1460.0,12.56
1461.0,12.56
1462.0,12.57
1463.0,12.52
1464.0,12.47
1465.0,12.4
1466.0,12.34
1467.0,12.3
1468.0,12.3
1469.0,12.27
1470.0,12.21
1471.0,12.18
1472.0,12.16
1473.0,12.17
1474.0,12.13
1475.0,12.12
1476.0,12.08
1477.0,12.01
1478.0,12.0
1479.0,11.95
1480.0,11.94
1481.0,11.92
1482.0,11.92
1483.0,11.86
1484.0,11.85
1485.0,11.84
1486.0,11.82
1487.0,11.81
1488.0,11.8
1489.0,11.78
1490.0,11.75
1491.0,11.72
1492.0,11.71
1493.0,11.69
1494.0,11.63
1495.0,11.6
1496.0,11.62
1497.0,11.61
1498.0,11.59
1499.0,11.58
1500.0,11.55
1501.0,11.52
1502.0,11.5
1503.0,11.49
1504.0,11.46
1505.0,11.44
1506.0,11.43
1507.0,11.39
1508.0,11.37
1509.0,11.34
1510.0,11.34
1511.0,11.31
1512.0,11.3
1513.0,11.28
1514.0,11.28
1515.0,11.28
1516.0,11.24
1517.0,11.22
1518.0,11.2
1519.0,11.18
1520.0,11.17
1521.0,11.15
1522.0,11.12
1523.0,11.11
1524.0,11.06
1525.0,11.03
1526.0,11.03
1527.0,11.02
1528.0,11.03
1529.0,11.0
1530.0,10.98
1531.0,10.96
1532.0,10.95
1533.0,10.94
1534.0,10.93
1535.0,10.91
1536.0,10.89
1537.0,10.87
1538.0,10.87
1539.0,10.87
1540.0,10.83
1541.0,10.82
1542.0,10.82
1543.0,10.81
1544.0,10.81
1545.0,10.77
1546.0,10.73
1547.0,10.7
1548.0,10.69
1549.0,10.68
1550.0,10.65
1551.0,10.62
1552.0,10.61
