Time,Susceptible,Exposed,Infected,Recovered
2.75,32,37,22,9
2.755,31,38,22,9
2.76,31,37,23,9
2.765,31,37,23,9
2.77,30,38,22,10
2.775,29,38,23,10
2.78,29,38,23,10
2.785,29,38,23,10
2.79,29,37,23,11
2.795,29,37,23,11
2.8,29,37,23,11
2.805,29,36,24,11
2.81,29,36,24,11
2.815,29,36,24,11
2.82,28,37,24,11
2.825,28,37,24,11
2.83,28,36,25,11
2.835,28,36,25,11
2.84,28,36,25,11
2.845,27,37,25,11
2.85,27,37,25,11
2.855,26,38,25,11
2.86,26,38,25,11
2.865,26,37,26,11
2.87,25,38,26,11
2.875,25,37,27,11
2.88,25,37,27,11
2.885,25,37,26,12
2.89,25,37,26,12
2.895,25,37,26,12
2.9,25,37,26,12
2.905,25,37,25,13
2.91,25,37,25,13
2.915,25,37,25,13
2.92,25,35,27,13
2.925,25,35,27,13
2.93,25,35,27,13
2.935,25,35,27,13
2.94,25,35,27,13
2.945,24,36,27,13
2.95,24,36,27,13
2.955,24,36,27,13
2.96,24,36,26,14
2.965,24,36,26,14
2.97,24,36,26,14
2.975,24,35,27,14
2.98,24,35,26,15
2.985,24,34,27,15
2.99,23,35,27,15
2.995,23,35,27,15
3,22,36,27,15
3.005,22,36,27,15
3.01,21,37,27,15
3.015,21,36,28,15
3.02,21,35,29,15
3.025,21,35,29,15
3.03,21,35,29,15
3.035,20,35,30,15
3.04,20,35,30,15
3.045,20,35,30,15
3.05,20,35,30,15
3.055,20,35,30,15
3.06,18,37,30,15
3.065,18,37,30,15
3.07,18,37,30,15
3.075,18,37,30,15
3.08,17,38,30,15
3.085,17,38,30,15
3.09,16,39,28,17
3.095,16,38,27,19
3.1,16,38,27,19
3.105,15,39,27,19
3.11,15,39,27,19
3.115,15,39,27,19
3.12,15,39,27,19
3.125,14,40,27,19
3.13,14,39,28,19
3.135,14,39,28,19
3.14,14,39,28,19
3.145,14,39,28,19
3.15,14,39,28,19
3.155,14,39,28,19
3.16,14,39,28,19
3.165,13,40,27,20
3.17,13,40,27,20
3.175,13,40,27,20
3.18,12,41,27,20
3.185,12,41,27,20
3.19,12,41,27,20
3.195,12,41,27,20
3.2,12,39,29,20
3.205,12,39,29,20
3.21,11,40,27,22
3.215,11,40,27,22
3.22,11,40,27,22
3.225,11,39,28,22
3.23,11,39,28,22
3.235,11,39,28,22
3.24,11,39,27,23
3.245,11,39,26,24
3.25,11,39,26,24
3.255,11,39,26,24
3.26,11,39,26,24
3.265,11,39,26,24
3.27,11,39,26,24
3.275,11,39,26,24
3.28,10,38,28,24
3.285,10,38,28,24
3.29,10,38,27,25
3.295,10,38,27,25
3.3,10,38,27,25
3.305,10,38,27,25
3.31,10,38,27,25
3.315,10,38,27,25
3.32,10,38,26,26
3.325,10,38,26,26
3.33,10,37,27,26
3.335,10,37,27,26
3.34,10,37,27,26
3.345,10,37,26,27
3.35,10,37,26,27
3.355,10,35,28,27
3.36,10,35,28,27
3.365,10,35,27,28
3.37,10,35,27,28
3.375,10,35,27,28
3.38,10,34,27,29
3.385,10,34,27,29
3.39,10,34,27,29
3.395,10,34,27,29
3.4,10,34,27,29
3.405,10,34,27,29
3.41,10,34,27,29
3.415,10,34,27,29
3.42,10,34,27,29
3.425,10,34,27,29
3.43,10,34,27,29
3.435,10,33,28,29
3.44,10,33,28,29
3.445,10,33,28,29
3.45,10,33,28,29
3.455,10,32,29,29
3.46,10,32,29,29
3.465,10,32,28,30
3.47,10,32,28,30
3.475,10,32,27,31
3.48,10,32,27,31
3.485,10,32,27,31
3.49,10,32,27,31
3.495,10,32,27,31
3.5,10,32,27,31
3.505,10,32,27,31
3.51,10,32,26,32
3.515,10,32,26,32
3.52,10,32,24,34
3.525,10,32,23,35
3.53,10,32,23,35
3.535,10,32,23,35
3.54,10,32,23,35
3.545,10,32,23,35
3.55,9,33,23,35
3.555,9,33,23,35
3.56,9,33,23,35
3.565,9,33,23,35
3.57,9,33,23,35
3.575,8,34,23,35
3.58,8,34,23,35
3.585,8,34,23,35
3.59,8,34,23,35
3.595,8,34,23,35
3.6,8,34,23,35
3.605,8,34,23,35
3.61,8,34,23,35
3.615,8,34,23,35
3.62,8,34,23,35
3.625,8,34,23,35
3.63,8,34,23,35
3.635,8,34,23,35
3.64,8,34,23,35
3.645,8,34,23,35
3.65,8,34,23,35
3.655,8,34,23,35
3.66,8,34,23,35
3.665,8,33,24,35
3.67,8,32,25,35
3.675,8,31,26,35
3.68,8,30,27,35
3.685,8,29,28,35
3.69,8,29,28,35
3.695,8,29,28,35
3.7,8,28,28,36
3.705,8,28,26,38
3.71,8,28,26,38
3.715,8,28,26,38
3.72,8,28,26,38
3.725,8,27,27,38
3.73,8,27,27,38
3.735,8,27,27,38
3.74,7,28,27,38
3.745,7,28,27,38
3.75,7,28,27,38
3.755,7,28,27,38
3.76,7,28,27,38
3.765,7,28,26,39
3.77,7,28,26,39
3.775,7,28,26,39
3.78,7,28,26,39
3.785,7,28,26,39
3.79,7,28,26,39
3.795,7,28,26,39
3.8,7,28,26,39
3.805,7,28,26,39
3.81,7,27,27,39
3.815,7,27,27,39
3.82,7,27,27,39
3.825,7,27,27,39
3.83,7,27,27,39
3.835,7,27,27,39
3.84,6,28,26,40
3.845,6,28,26,40
3.85,5,29,26,40
3.855,5,29,26,40
3.86,5,29,26,40
3.865,5,29,25,41
3.87,5,28,26,41
3.875,5,28,26,41
3.88,5,28,26,41
3.885,5,28,26,41
3.89,5,28,26,41
3.895,5,28,26,41
3.9,5,28,26,41
3.905,5,28,26,41
3.91,5,28,24,43
3.915,5,28,23,44
3.92,5,28,23,44
3.925,5,28,23,44
3.93,5,28,23,44
3.935,4,29,23,44
3.94,4,28,23,45
3.945,4,28,23,45
3.95,4,28,22,46
3.955,4,28,22,46
3.96,4,28,22,46
3.965,4,28,22,46
3.97,4,27,23,46
3.975,4,27,23,46
3.98,4,27,23,46
3.985,4,27,23,46
3.99,4,26,24,46
3.995,4,26,24,46
4,4,26,24,46
4.005,4,26,24,46
4.01,4,26,24,46
4.015,4,26,24,46
4.02,4,26,24,46
4.025,4,25,25,46
4.03,4,24,26,46
4.035,4,24,26,46
4.04,4,24,26,46
4.045,4,24,25,47
4.05,4,24,25,47
4.055,4,23,26,47
4.06,4,23,25,48
4.065,4,23,23,50
4.07,4,22,24,50
4.075,4,22,24,50
4.08,4,22,24,50
4.085,4,22,24,50
4.09,4,22,24,50
4.095,4,22,24,50
4.1,4,22,24,50
4.105,4,22,24,50
4.11,4,22,24,50
4.115,4,21,25,50
4.12,4,21,25,50
4.125,4,21,25,50
4.13,4,21,24,51
4.135,4,21,24,51
4.14,4,21,24,51
4.145,4,21,24,51
4.15,4,21,24,51
4.155,4,21,24,51
4.16,4,21,24,51
4.165,4,21,24,51
4.17,4,21,24,51
4.175,4,21,24,51
4.18,4,21,24,51
4.185,4,21,24,51
4.19,4,21,24,51
4.195,4,21,24,51
4.2,4,21,24,51
4.205,4,20,25,51
4.21,4,20,25,51
4.215,4,20,23,53
4.22,4,20,23,53
4.225,4,20,23,53
4.23,4,20,22,54
4.235,4,20,21,55
4.24,4,20,21,55
4.245,4,20,21,55
4.25,4,20,21,55
4.255,4,20,20,56
4.26,4,20,20,56
4.265,4,20,20,56
4.27,4,20,20,56
4.275,4,19,21,56
4.28,4,19,21,56
4.285,4,19,21,56
4.29,4,19,21,56
4.295,4,19,20,57
4.3,4,19,20,57
4.305,4,19,20,57
4.31,4,19,20,57
4.315,4,19,20,57
4.32,4,19,19,58
