time,State3Mean,state3STD
0.0722,0.04,0.195959
0.0723,0.04,0.195959
0.0724,0.04,0.195959
0.0725,0.04,0.195959
0.0726,0.04,0.195959
0.0727,0.04,0.195959
0.0728,0.04,0.195959
0.0729,0.04,0.195959
0.073,0.04,0.195959
0.0731,0.04,0.195959
0.0732,0.04,0.195959
0.0733,0.04,0.195959
0.0734,0.04,0.195959
0.0735,0.04,0.195959
0.0736,0.04,0.195959
0.0737,0.04,0.195959
0.0738,0.04,0.195959
0.0739,0.04,0.195959
0.074,0.04,0.195959
0.0741,0.04,0.195959
0.0742,0.04,0.195959
0.0743,0.04,0.195959
0.0744,0.04,0.195959
0.0745,0.04,0.195959
0.0746,0.04,0.195959
0.0747,0.04,0.195959
0.0748,0.04,0.195959
0.0749,0.04,0.195959
0.075,0.04,0.195959
0.0751,0.04,0.195959
0.0752,0.04,0.195959
0.0753,0.04,0.195959
0.0754,0.04,0.195959
0.0755,0.04,0.195959
0.0756,0.04,0.195959
0.0757,0.04,0.195959
0.0758,0.04,0.195959
0.0759,0.04,0.195959
0.076,0.04,0.195959
0.0761,0.04,0.195959
0.0762,0.04,0.195959
0.0763,0.04,0.195959
0.0764,0.04,0.195959
0.0765,0.04,0.195959
0.0766,0.04,0.195959
0.0767,0.04,0.195959
0.0768,0.04,0.195959
0.0769,0.04,0.195959
0.077,0.04,0.195959
0.0771,0.04,0.195959
0.0772,0.04,0.195959
0.0773,0.04,0.195959
0.0774,0.04,0.195959
0.0775,0.04,0.195959
0.0776,0.04,0.195959
0.0777,0.04,0.195959
0.0778,0.04,0.195959
0.0779,0.04,0.195959
0.078,0.04,0.195959
0.0781,0.04,0.195959
0.0782,0.04,0.195959
0.0783,0.04,0.195959
0.0784,0.04,0.195959
0.0785,0.04,0.195959
0.0786,0.04,0.195959
0.0787,0.04,0.195959
0.0788,0.04,0.195959
0.0789,0.04,0.195959
0.079,0.04,0.195959
0.0791,0.04,0.195959
0.0792,0.04,0.195959
0.0793,0.04,0.195959
0.0794,0.04,0.195959
0.0795,0.04,0.195959
0.0796,0.04,0.195959
0.0797,0.04,0.195959
0.0798,0.04,0.195959
0.0799,0.04,0.195959
0.08,0.04,0.195959
0.0801,0.04,0.195959
0.0802,0.04,0.195959
0.0803,0.04,0.195959
0.0804,0.04,0.195959
0.0805,0.04,0.195959
0.0806,0.04,0.195959
0.0807,0.04,0.195959
0.0808,0.04,0.195959
0.0809,0.04,0.195959
0.081,0.04,0.195959
0.0811,0.04,0.195959
0.0812,0.04,0.195959
0.0813,0.04,0.195959
0.0814,0.04,0.195959
0.0815,0.04,0.195959
0.0816,0.04,0.195959
0.0817,0.04,0.195959
0.0818,0.04,0.195959
0.0819,0.04,0.195959
0.082,0.04,0.195959
0.0821,0.04,0.195959
0.0822,0.04,0.195959
0.0823,0.04,0.195959
0.0824,0.04,0.195959
0.0825,0.04,0.195959
0.0826,0.04,0.195959
0.0827,0.04,0.195959
0.0828,0.04,0.195959
0.0829,0.04,0.195959
0.083,0.04,0.195959
0.0831,0.04,0.195959
0.0832,0.04,0.195959
0.0833,0.04,0.195959
0.0834,0.04,0.195959
0.0835,0.04,0.195959
0.0836,0.04,0.195959
0.0837,0.04,0.195959
0.0838,0.04,0.195959
0.0839,0.04,0.195959
0.084,0.04,0.195959
0.0841,0.04,0.195959
0.0842,0.04,0.195959
0.0843,0.04,0.195959
0.0844,0.04,0.195959
0.0845,0.04,0.195959
0.0846,0.04,0.195959
0.0847,0.04,0.195959
0.0848,0.04,0.195959
0.0849,0.04,0.195959
0.085,0.04,0.195959
0.0851,0.04,0.195959
0.0852,0.04,0.195959
0.0853,0.04,0.195959
0.0854,0.04,0.195959
0.0855,0.04,0.195959
0.0856,0.04,0.195959
0.0857,0.04,0.195959
0.0858,0.04,0.195959
0.0859,0.04,0.195959
0.086,0.04,0.195959
