Time, position_x, position_y
117.2, 34, 22
117.3, 34, 22
117.4, 34, 22
117.5, 34, 22
117.6, 34, 22
117.7, 34, 22
117.8, 34, 22
117.9, 34, 22
118, 34, 22
118.1, 34, 22
118.2, 34, 22
118.3, 34, 22
118.4, 34, 22
118.5, 34, 22
118.6, 34, 22
118.7, 34, 22
118.8, 34, 22
118.9, 34, 22
119, 34, 22
119.1, 34, 21
119.2, 34, 21
119.3, 34, 21
119.4, 34, 21
119.5, 34, 21
119.6, 34, 21
119.7, 34, 21
119.8, 34, 21
119.9, 34, 21
120, 34, 21
120.1, 34, 21
120.2, 34, 21
120.3, 34, 21
120.4, 34, 21
120.5, 34, 21
120.6, 34, 21
120.7, 34, 21
120.8, 34, 21
120.9, 34, 21
121, 34, 21
121.1, 34, 21
121.2, 34, 21
121.3, 34, 21
121.4, 34, 21
121.5, 34, 21
121.6, 34, 21
121.7, 34, 21
121.8, 34, 21
121.9, 34, 21
122, 34, 21
122.1, 34, 21
122.2, 34, 21
122.3, 34, 21
122.4, 34, 21
122.5, 35, 21
122.6, 35, 21
122.7, 35, 21
122.8, 35, 21
122.9, 35, 21
123, 35, 21
123.1, 35, 21
123.2, 35, 21
123.3, 35, 21
123.4, 35, 21
123.5, 35, 21
123.6, 35, 21
123.7, 35, 21
123.8, 35, 21
123.9, 35, 21
124, 35, 21
124.1, 35, 21
124.2, 35, 21
124.3, 35, 21
124.4, 35, 21
124.5, 35, 21
124.6, 35, 21
124.7, 35, 21
124.8, 35, 21
124.9, 35, 21
125, 35, 21
125.1, 35, 21
125.2, 35, 21
125.3, 35, 21
125.4, 35, 21
125.5, 35, 21
125.6, 35, 21
125.7, 35, 21
125.8, 35, 21
125.9, 35, 21
126, 35, 21
126.1, 35, 21
126.2, 35, 21
126.3, 35, 21
126.4, 35, 21
126.5, 35, 21
126.6, 35, 21
126.7, 34, 21
126.8, 34, 21
126.9, 34, 21
127, 34, 21
127.1, 34, 21
127.2, 34, 21
127.3, 34, 21
127.4, 34, 21
127.5, 34, 21
127.6, 34, 21
127.7, 34, 21
127.8, 34, 21
127.9, 34, 21
128, 34, 21
128.1, 34, 21
128.2, 34, 21
128.3, 34, 21
128.4, 34, 21
128.5, 34, 21
128.6, 34, 21
128.7, 34, 21
128.8, 34, 21
128.9, 34, 21
129, 34, 21
129.1, 34, 21
129.2, 34, 21
129.3, 34, 21
129.4, 34, 21
129.5, 34, 21
129.6, 34, 21
129.7, 34, 21
129.8, 34, 21
129.9, 34, 22
130, 34, 22
130.1, 34, 22
130.2, 34, 22
130.3, 34, 22
130.4, 34, 22
130.5, 34, 22
130.6, 34, 22
130.7, 34, 22
130.8, 34, 22
130.9, 34, 22
131, 34, 22
131.1, 33, 22
131.2, 33, 22
131.3, 33, 21
131.4, 33, 21
131.5, 33, 21
131.6, 33, 21
131.7, 33, 21
131.8, 33, 21
131.9, 34, 21
132, 34, 21
132.1, 34, 21
132.2, 34, 21
132.3, 34, 21
132.4, 34, 21
132.5, 34, 21
132.6, 34, 21
132.7, 34, 21
132.8, 34, 21
132.9, 34, 20
133, 34, 20
133.1, 34, 20
133.2, 34, 20
133.3, 34, 20
133.4, 34, 20
133.5, 34, 20
133.6, 34, 20
133.7, 34, 20
133.8, 34, 20
133.9, 34, 20
134, 34, 20
134.1, 34, 20
134.2, 34, 20
134.3, 34, 20
134.4, 34, 20
134.5, 34, 20
134.6, 34, 20
134.7, 34, 20
134.8, 34, 20
134.9, 34, 20
135, 34, 20
135.1, 35, 20
135.2, 35, 20
135.3, 35, 20
135.4, 35, 20
135.5, 35, 20
135.6, 35, 20
135.7, 35, 20
135.8, 35, 20
135.9, 36, 20
136, 36, 20
136.1, 36, 20
136.2, 36, 20
136.3, 36, 20
136.4, 36, 20
136.5, 36, 20
136.6, 36, 20
136.7, 36, 20
136.8, 36, 20
136.9, 36, 20
137, 36, 20
137.1, 36, 20
137.2, 36, 20
137.3, 36, 20
137.4, 36, 20
137.5, 36, 20
137.6, 36, 20
137.7, 36, 20
137.8, 36, 20
137.9, 36, 20
138, 36, 20
138.1, 36, 20
138.2, 36, 20
138.3, 36, 20
138.4, 36, 20
138.5, 36, 20
138.6, 36, 20
138.7, 36, 20
138.8, 36, 20
138.9, 36, 20
139, 36, 20
139.1, 36, 20
139.2, 36, 20
139.3, 36, 20
139.4, 36, 20
139.5, 36, 20
139.6, 36, 20
139.7, 36, 20
139.8, 36, 20
139.9, 35, 20
140, 35, 20
140.1, 35, 20
140.2, 35, 20
140.3, 35, 20
140.4, 35, 20
140.5, 35, 21
140.6, 35, 21
140.7, 35, 21
140.8, 35, 21
140.9, 35, 22
141, 35, 22
141.1, 35, 22
141.2, 35, 22
141.3, 35, 22
141.4, 35, 22
141.5, 35, 22
141.6, 35, 22
141.7, 35, 22
141.8, 35, 22
141.9, 35, 22
142, 35, 22
142.1, 35, 22
142.2, 35, 22
142.3, 35, 22
