time,infectious STD
1.93,4.267833173871725
1.935,4.317626662878578
1.94,4.332851255235981
1.945,4.363072312029678
1.95,4.387470797623615
1.955,4.417963331672184
1.96,4.477443466979791
1.965,4.527902384106796
1.97,4.562663695693559
1.975,4.586185779054312
1.98,4.613025037868318
1.985,4.632180911838397
1.99,4.720423709795552
1.995,4.7431107935615415
2.0,4.71884519771522
2.005,4.735599222907275
2.01,4.748684028233505
2.015,4.803165622795035
2.02,4.80760855311661
2.025,4.861645811862481
2.03,4.8595884599418495
2.035,4.894445831756646
2.04,4.910763688063192
2.045,4.924997461928281
2.05,5.0226984779100565
2.055,5.030864736802214
2.06,5.036864103785211
2.065,4.992744736114595
2.07,5.044799302251775
2.075,5.032534152889576
2.08,5.05223712824329
2.085,5.065925384369571
2.09,5.131315620774073
2.095,5.113462623311136
2.1,5.110097846421337
2.105,5.144900387762623
2.11,5.159612388542381
2.115,5.220306504411401
2.12,5.246055661161059
2.125,5.287759449899362
2.13,5.29462935435522
2.135,5.271204795869727
2.14,5.287116416346438
2.145,5.337593090523107
2.15,5.357714064785466
2.155,5.4424626778692735
2.16,5.408613500704225
2.165,5.4339212360872535
2.17,5.482700064749119
2.175,5.493632677928148
2.18,5.483238094411001
2.185,5.5056698048466375
2.19,5.525395913416522
2.195,5.514526271584895
2.2,5.5362442142665635
2.205,5.579202451963901
2.21,5.539350142390352
2.215,5.554052574472086
2.22,5.622775115545705
2.225,5.701675192432485
2.23,5.773205348850844
2.235,5.838587157866189
2.24,5.856782393089228
2.245,5.900330499217819
2.25,5.880612213026805
2.255,5.920903647248449
2.26,5.938509914111453
2.265,6.048231146376599
2.27,6.122123814494443
2.275,6.1429960117193625
2.28,6.182200255572447
2.285,6.249767995693922
2.29,6.277730481631081
2.295,6.21929256427128
2.3,6.235382907247958
2.305,6.2441252389746325
2.31,6.287089946867308
2.315,6.287575049253886
2.32,6.305997145574996
2.325,6.350716495010621
2.33,6.289761521711295
2.335,6.295546044625518
2.34,6.3123608895563
2.345,6.3406939683287025
2.35,6.343587313184869
